PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
137,1,1,0,19.0,0.0,0,26.2833,3
138,0,1,1,37.0,1.0,0,53.1,3
139,0,3,1,16.0,0.0,0,9.2167,3
140,0,1,1,24.0,0.0,0,65.6344,0
141,0,3,0,28.0,0.0,0,15.2458,0
142,1,3,0,22.0,0.0,0,7.75,3
143,1,3,0,24.0,1.0,0,15.85,3
144,0,3,1,19.0,0.0,0,6.75,2
145,0,2,1,18.0,0.0,0,11.5,3
146,0,2,1,19.0,1.0,0,36.75,3
147,1,3,1,27.0,0.0,0,7.7958,3
148,0,3,0,9.0,2.0,0,34.375,3
149,0,2,1,36.5,0.0,0,26.0,3
150,0,2,1,42.0,0.0,0,13.0,3
151,0,2,1,51.0,0.0,0,12.525,3
152,1,1,0,22.0,1.0,0,65.6344,3
153,0,3,1,55.5,0.0,0,8.05,3
154,0,3,1,40.5,0.0,0,14.5,3
155,0,3,1,28.0,0.0,0,7.3125,3
156,0,1,1,51.0,0.0,0,61.3792,0
157,1,3,0,16.0,0.0,0,7.7333,2
158,0,3,1,30.0,0.0,0,8.05,3
159,0,3,1,28.0,0.0,0,8.6625,3
160,0,3,1,28.0,2.5,0,65.6344,3
161,0,3,1,44.0,0.0,0,16.1,3
162,1,2,0,40.0,0.0,0,15.75,3
163,0,3,1,26.0,0.0,0,7.775,3
164,0,3,1,17.0,0.0,0,8.6625,3
165,0,3,1,1.0,2.5,0,39.6875,3
166,1,3,1,9.0,0.0,0,20.525,3
167,1,1,0,28.0,0.0,0,55.0,3
168,0,3,0,45.0,1.0,0,27.9,3
169,0,1,1,28.0,0.0,0,25.925,3
170,0,3,1,28.0,0.0,0,56.4958,3
171,0,1,1,61.0,0.0,0,33.5,3
172,0,3,1,4.0,2.5,0,29.125,2
173,1,3,0,1.0,1.0,0,11.1333,3
174,0,3,1,21.0,0.0,0,7.925,3
175,0,1,1,56.0,0.0,0,30.6958,0
176,0,3,1,18.0,1.0,0,7.8542,3
177,0,3,1,28.0,2.5,0,25.4667,3
178,0,1,0,50.0,0.0,0,28.7125,0
179,0,2,1,30.0,0.0,0,13.0,3
180,0,3,1,36.0,0.0,0,0.0,3
181,0,3,0,28.0,2.5,0,65.6344,3
182,0,2,1,28.0,0.0,0,15.05,0
183,0,3,1,9.0,2.5,0,31.3875,3
184,1,2,1,1.0,2.0,0,39.0,3
185,1,3,0,4.0,0.0,0,22.025,3
186,0,1,1,28.0,0.0,0,50.0,3
187,1,3,0,28.0,1.0,0,15.5,2
188,1,1,1,45.0,0.0,0,26.55,3
189,0,3,1,40.0,1.0,0,15.5,2
190,0,3,1,36.0,0.0,0,7.8958,3
191,1,2,0,32.0,0.0,0,13.0,3
192,0,2,1,19.0,0.0,0,13.0,3
193,1,3,0,19.0,1.0,0,7.8542,3
194,1,2,1,3.0,1.0,0,26.0,3
195,1,1,0,44.0,0.0,0,27.7208,0
196,1,1,0,58.0,0.0,0,65.6344,0
197,0,3,1,28.0,0.0,0,7.75,2
198,0,3,1,42.0,0.0,0,8.4042,3
199,1,3,0,28.0,0.0,0,7.75,2
200,0,2,0,24.0,0.0,0,13.0,3
201,0,3,1,28.0,0.0,0,9.5,3
202,0,3,1,28.0,2.5,0,65.6344,3
203,0,3,1,34.0,0.0,0,6.4958,3
204,0,3,1,45.5,0.0,0,7.225,0
205,1,3,1,18.0,0.0,0,8.05,3
206,0,3,0,2.0,0.0,0,10.4625,3
207,0,3,1,32.0,1.0,0,15.85,3
208,1,3,1,26.0,0.0,0,18.7875,0
209,1,3,0,16.0,0.0,0,7.75,2
210,1,1,1,40.0,0.0,0,31.0,0
211,0,3,1,24.0,0.0,0,7.05,3
212,1,2,0,35.0,0.0,0,21.0,3
213,0,3,1,22.0,0.0,0,7.25,3
214,0,2,1,30.0,0.0,0,13.0,3
215,0,3,1,28.0,1.0,0,7.75,2
216,1,1,0,31.0,1.0,0,65.6344,0
217,1,3,0,27.0,0.0,0,7.925,3
218,0,2,1,42.0,1.0,0,27.0,3
219,1,1,0,32.0,0.0,0,65.6344,0
220,0,2,1,30.0,0.0,0,10.5,3
221,1,3,1,16.0,0.0,0,8.05,3
222,0,2,1,27.0,0.0,0,13.0,3
223,0,3,1,51.0,0.0,0,8.05,3
224,0,3,1,28.0,0.0,0,7.8958,3
225,1,1,1,38.0,1.0,0,65.6344,3
226,0,3,1,22.0,0.0,0,9.35,3
227,1,2,1,19.0,0.0,0,10.5,3
228,0,3,1,20.5,0.0,0,7.25,3
229,0,2,1,18.0,0.0,0,13.0,3
230,0,3,0,28.0,2.5,0,25.4667,3
231,1,1,0,35.0,1.0,0,65.6344,3
232,0,3,1,29.0,0.0,0,7.775,3
233,0,2,1,59.0,0.0,0,13.5,3
234,1,3,0,5.0,2.5,0,31.3875,3
235,0,2,1,24.0,0.0,0,10.5,3
236,0,3,0,28.0,0.0,0,7.55,3
237,0,2,1,44.0,1.0,0,26.0,3
238,1,2,0,8.0,0.0,0,26.25,3
239,0,2,1,19.0,0.0,0,10.5,3
240,0,2,1,33.0,0.0,0,12.275,3
241,0,3,0,28.0,1.0,0,14.4542,0
242,1,3,0,28.0,1.0,0,15.5,2
243,0,2,1,29.0,0.0,0,10.5,3
244,0,3,1,22.0,0.0,0,7.125,3
245,0,3,1,30.0,0.0,0,7.225,0
246,0,1,1,44.0,2.0,0,65.6344,2
247,0,3,0,25.0,0.0,0,7.775,3
248,1,2,0,24.0,0.0,0,14.5,3
249,1,1,1,37.0,1.0,0,52.5542,3
250,0,2,1,54.0,1.0,0,26.0,3
251,0,3,1,28.0,0.0,0,7.25,3
252,0,3,0,29.0,1.0,0,10.4625,3
253,0,1,1,62.0,0.0,0,26.55,3
254,0,3,1,30.0,1.0,0,16.1,3
255,0,3,0,41.0,0.0,0,20.2125,3
256,1,3,0,29.0,0.0,0,15.2458,0
257,1,1,0,28.0,0.0,0,65.6344,0
258,1,1,0,30.0,0.0,0,65.6344,3
259,1,1,0,35.0,0.0,0,65.6344,0
260,1,2,0,50.0,0.0,0,26.0,3
261,0,3,1,28.0,0.0,0,7.75,2
262,1,3,1,3.0,2.5,0,31.3875,3
263,0,1,1,52.0,1.0,0,65.6344,3
264,0,1,1,40.0,0.0,0,0.0,3
265,0,3,0,28.0,0.0,0,7.75,2
266,0,2,1,36.0,0.0,0,10.5,3
267,0,3,1,16.0,2.5,0,39.6875,3
268,1,3,1,25.0,1.0,0,7.775,3
269,1,1,0,58.0,0.0,0,65.6344,3
270,1,1,0,35.0,0.0,0,65.6344,3
271,0,1,1,28.0,0.0,0,31.0,3
272,1,3,1,25.0,0.0,0,0.0,3
273,1,2,0,41.0,0.0,0,19.5,3
274,0,1,1,37.0,0.0,0,29.7,0
275,1,3,0,28.0,0.0,0,7.75,2
276,1,1,0,63.0,1.0,0,65.6344,3
277,0,3,0,45.0,0.0,0,7.75,3
278,0,2,1,28.0,0.0,0,0.0,3
279,0,3,1,7.0,2.5,0,29.125,2
280,1,3,0,35.0,1.0,0,20.25,3
281,0,3,1,64.8125,0.0,0,7.75,2
282,0,3,1,28.0,0.0,0,7.8542,3
283,0,3,1,16.0,0.0,0,9.5,3
284,1,3,1,19.0,0.0,0,8.05,3
285,0,1,1,28.0,0.0,0,26.0,3
286,0,3,1,33.0,0.0,0,8.6625,0
287,1,3,1,30.0,0.0,0,9.5,3
288,0,3,1,22.0,0.0,0,7.8958,3
289,1,2,1,42.0,0.0,0,13.0,3
290,1,3,0,22.0,0.0,0,7.75,2
291,1,1,0,26.0,0.0,0,65.6344,3
292,1,1,0,19.0,1.0,0,65.6344,0
293,0,2,1,36.0,0.0,0,12.875,0
294,0,3,0,24.0,0.0,0,8.85,3
295,0,3,1,24.0,0.0,0,7.8958,3
296,0,1,1,28.0,0.0,0,27.7208,0
297,0,3,1,23.5,0.0,0,7.2292,0
298,0,1,0,2.0,1.0,0,65.6344,3
299,1,1,1,28.0,0.0,0,30.5,3
300,1,1,0,50.0,0.0,0,65.6344,0
301,1,3,0,28.0,0.0,0,7.75,2
302,1,3,1,28.0,2.0,0,23.25,2
303,0,3,1,19.0,0.0,0,0.0,3
304,1,2,0,28.0,0.0,0,12.35,2
305,0,3,1,28.0,0.0,0,8.05,3
306,1,1,1,0.92,1.0,0,65.6344,3
307,1,1,0,28.0,0.0,0,65.6344,0
308,1,1,0,17.0,1.0,0,65.6344,0
309,0,2,1,30.0,1.0,0,24.0,0
310,1,1,0,30.0,0.0,0,56.9292,0
311,1,1,0,24.0,0.0,0,65.6344,0
312,1,1,0,18.0,2.0,0,65.6344,0
313,0,2,0,26.0,1.0,0,26.0,3
314,0,3,1,28.0,0.0,0,7.8958,3
315,0,2,1,43.0,1.0,0,26.25,3
316,1,3,0,26.0,0.0,0,7.8542,3
317,1,2,0,24.0,1.0,0,26.0,3
318,0,2,1,54.0,0.0,0,14.0,3
319,1,1,0,31.0,0.0,0,65.6344,3
320,1,1,0,40.0,1.0,0,65.6344,0
321,0,3,1,22.0,0.0,0,7.25,3
322,0,3,1,27.0,0.0,0,7.8958,3
323,1,2,0,30.0,0.0,0,12.35,2
324,1,2,0,22.0,1.0,0,29.0,3
325,0,3,1,28.0,2.5,0,65.6344,3
326,1,1,0,36.0,0.0,0,65.6344,0
327,0,3,1,61.0,0.0,0,6.2375,3
328,1,2,0,36.0,0.0,0,13.0,3
329,1,3,0,31.0,1.0,0,20.525,3
330,1,1,0,16.0,0.0,0,57.9792,0
331,1,3,0,28.0,2.0,0,23.25,2
332,0,1,1,45.5,0.0,0,28.5,3
333,0,1,1,38.0,0.0,0,65.6344,3
334,0,3,1,16.0,2.0,0,18.0,3
335,1,1,0,28.0,1.0,0,65.6344,3
336,0,3,1,28.0,0.0,0,7.8958,3
337,0,1,1,29.0,1.0,0,65.6344,3
338,1,1,0,41.0,0.0,0,65.6344,0
339,1,3,1,45.0,0.0,0,8.05,3
340,0,1,1,45.0,0.0,0,35.5,3
341,1,2,1,2.0,1.0,0,26.0,3
342,1,1,0,24.0,2.5,0,65.6344,3
343,0,2,1,28.0,0.0,0,13.0,3
344,0,2,1,25.0,0.0,0,13.0,3
345,0,2,1,36.0,0.0,0,13.0,3
346,1,2,0,24.0,0.0,0,13.0,3
347,1,2,0,40.0,0.0,0,13.0,3
348,1,3,0,28.0,1.0,0,16.1,3
349,1,3,1,3.0,1.0,0,15.9,3
350,0,3,1,42.0,0.0,0,8.6625,3
351,0,3,1,23.0,0.0,0,9.225,3
352,0,1,1,28.0,0.0,0,35.0,3
353,0,3,1,15.0,1.0,0,7.2292,0
354,0,3,1,25.0,1.0,0,17.8,3
355,0,3,1,28.0,0.0,0,7.225,0
356,0,3,1,28.0,0.0,0,9.5,3
357,1,1,0,22.0,0.0,0,55.0,3
358,0,2,0,38.0,0.0,0,13.0,3
359,1,3,0,28.0,0.0,0,7.8792,2
360,1,3,0,28.0,0.0,0,7.8792,2
361,0,3,1,40.0,1.0,0,27.9,3
362,0,2,1,29.0,1.0,0,27.7208,0
363,0,3,0,45.0,0.0,0,14.4542,0
364,0,3,1,35.0,0.0,0,7.05,3
365,0,3,1,28.0,1.0,0,15.5,2
366,0,3,1,30.0,0.0,0,7.25,3
367,1,1,0,60.0,1.0,0,65.6344,0
368,1,3,0,28.0,0.0,0,7.2292,0
369,1,3,0,28.0,0.0,0,7.75,2
370,1,1,0,24.0,0.0,0,65.6344,0
371,1,1,1,25.0,1.0,0,55.4417,0
372,0,3,1,18.0,1.0,0,6.4958,3
373,0,3,1,19.0,0.0,0,8.05,3
374,0,1,1,22.0,0.0,0,65.6344,0
375,0,3,0,3.0,2.5,0,21.075,3
376,1,1,0,28.0,1.0,0,65.6344,0
377,1,3,0,22.0,0.0,0,7.25,3
378,0,1,1,27.0,0.0,0,65.6344,0
379,0,3,1,20.0,0.0,0,4.0125,0
380,0,3,1,19.0,0.0,0,7.775,3
381,1,1,0,42.0,0.0,0,65.6344,0
382,1,3,0,1.0,0.0,0,15.7417,0
383,0,3,1,32.0,0.0,0,7.925,3
384,1,1,0,35.0,1.0,0,52.0,3
385,0,3,1,28.0,0.0,0,7.8958,3
386,0,2,1,18.0,0.0,0,65.6344,3
387,0,3,1,1.0,2.5,0,46.9,3
388,1,2,0,36.0,0.0,0,13.0,3
389,0,3,1,28.0,0.0,0,7.7292,2
390,1,2,0,17.0,0.0,0,12.0,0
391,1,1,1,36.0,1.0,0,65.6344,3
392,1,3,1,21.0,0.0,0,7.7958,3
393,0,3,1,28.0,2.0,0,7.925,3
394,1,1,0,23.0,1.0,0,65.6344,0
395,1,3,0,24.0,0.0,0,16.7,3
396,0,3,1,22.0,0.0,0,7.7958,3
397,0,3,0,31.0,0.0,0,7.8542,3
398,0,2,1,46.0,0.0,0,26.0,3
399,0,2,1,23.0,0.0,0,10.5,3
400,1,2,0,28.0,0.0,0,12.65,3
401,1,3,1,39.0,0.0,0,7.925,3
402,0,3,1,26.0,0.0,0,8.05,3
403,0,3,0,21.0,1.0,0,9.825,3
404,0,3,1,28.0,1.0,0,15.85,3
405,0,3,0,20.0,0.0,0,8.6625,3
406,0,2,1,34.0,1.0,0,21.0,3
407,0,3,1,51.0,0.0,0,7.75,3
408,1,2,1,3.0,1.0,0,18.75,3
409,0,3,1,21.0,0.0,0,7.775,3
410,0,3,0,28.0,2.5,0,25.4667,3
411,0,3,1,28.0,0.0,0,7.8958,3
412,0,3,1,28.0,0.0,0,6.8583,2
413,1,1,0,33.0,1.0,0,65.6344,2
414,0,2,1,28.0,0.0,0,0.0,3
415,1,3,1,44.0,0.0,0,7.925,3
416,0,3,0,28.0,0.0,0,8.05,3
417,1,2,0,34.0,1.0,0,32.5,3
418,1,2,0,18.0,0.0,0,13.0,3
419,0,2,1,30.0,0.0,0,13.0,3
420,0,3,0,10.0,0.0,0,24.15,3
421,0,3,1,28.0,0.0,0,7.8958,0
422,0,3,1,21.0,0.0,0,7.7333,2
423,0,3,1,29.0,0.0,0,7.875,3
424,0,3,0,28.0,1.0,0,14.4,3
425,0,3,1,18.0,1.0,0,20.2125,3
426,0,3,1,28.0,0.0,0,7.25,3
427,1,2,0,28.0,1.0,0,26.0,3
428,1,2,0,19.0,0.0,0,26.0,3
429,0,3,1,28.0,0.0,0,7.75,2
430,1,3,1,32.0,0.0,0,8.05,3
431,1,1,1,28.0,0.0,0,26.55,3
432,1,3,0,28.0,1.0,0,16.1,3
433,1,2,0,42.0,1.0,0,26.0,3
434,0,3,1,17.0,0.0,0,7.125,3
435,0,1,1,50.0,1.0,0,55.9,3
436,1,1,0,14.0,1.0,0,65.6344,3
437,0,3,0,21.0,2.0,0,34.375,3
438,1,2,0,24.0,2.0,0,18.75,3
439,0,1,1,64.0,1.0,0,65.6344,3
440,0,2,1,31.0,0.0,0,10.5,3
441,1,2,0,45.0,1.0,0,26.25,3
442,0,3,1,20.0,0.0,0,9.5,3
443,0,3,1,25.0,1.0,0,7.775,3
444,1,2,0,28.0,0.0,0,13.0,3
445,1,3,1,28.0,0.0,0,8.1125,3
446,1,1,1,4.0,0.0,0,65.6344,3
447,1,2,0,13.0,0.0,0,19.5,3
448,1,1,1,34.0,0.0,0,26.55,3
449,1,3,0,5.0,2.0,0,19.2583,0
450,1,1,1,52.0,0.0,0,30.5,3
451,0,2,1,36.0,1.0,0,27.75,3
452,0,3,1,28.0,1.0,0,19.9667,3
453,0,1,1,30.0,0.0,0,27.75,0
454,1,1,1,49.0,1.0,0,65.6344,0
455,0,3,1,28.0,0.0,0,8.05,3
456,1,3,1,29.0,0.0,0,7.8958,0
457,0,1,1,64.8125,0.0,0,26.55,3
458,1,1,0,28.0,1.0,0,51.8625,3
459,1,2,0,50.0,0.0,0,10.5,3
460,0,3,1,28.0,0.0,0,7.75,2
461,1,1,1,48.0,0.0,0,26.55,3
462,0,3,1,34.0,0.0,0,8.05,3
463,0,1,1,47.0,0.0,0,38.5,3
464,0,2,1,48.0,0.0,0,13.0,3
465,0,3,1,28.0,0.0,0,8.05,3
466,0,3,1,38.0,0.0,0,7.05,3
467,0,2,1,28.0,0.0,0,0.0,3
468,0,1,1,56.0,0.0,0,26.55,3
469,0,3,1,28.0,0.0,0,7.725,2
470,1,3,0,0.75,2.0,0,19.2583,0
471,0,3,1,28.0,0.0,0,7.25,3
472,0,3,1,38.0,0.0,0,8.6625,3
473,1,2,0,33.0,1.0,0,27.75,3
474,1,2,0,23.0,0.0,0,13.7917,0
475,0,3,0,22.0,0.0,0,9.8375,3
476,0,1,1,28.0,0.0,0,52.0,3
477,0,2,1,34.0,1.0,0,21.0,3
478,0,3,1,29.0,1.0,0,7.0458,3
479,0,3,1,22.0,0.0,0,7.5208,3
480,1,3,0,2.0,0.0,0,12.2875,3
481,0,3,1,9.0,2.5,0,46.9,3
482,0,2,1,28.0,0.0,0,0.0,3
483,0,3,1,50.0,0.0,0,8.05,3
484,1,3,0,63.0,0.0,0,9.5875,3
485,1,1,1,25.0,1.0,0,65.6344,0
486,0,3,0,28.0,2.5,0,25.4667,3
487,1,1,0,35.0,1.0,0,65.6344,3
488,0,1,1,58.0,0.0,0,29.7,0
489,0,3,1,30.0,0.0,0,8.05,3
490,1,3,1,9.0,1.0,0,15.9,3
491,0,3,1,28.0,1.0,0,19.9667,3
492,0,3,1,21.0,0.0,0,7.25,3
493,0,1,1,55.0,0.0,0,30.5,3
494,0,1,1,64.8125,0.0,0,49.5042,0
495,0,3,1,21.0,0.0,0,8.05,3
496,0,3,1,28.0,0.0,0,14.4583,0
497,1,1,0,54.0,1.0,0,65.6344,0
498,0,3,1,28.0,0.0,0,15.1,3
499,0,1,0,25.0,1.0,0,65.6344,3
500,0,3,1,24.0,0.0,0,7.7958,3
501,0,3,1,17.0,0.0,0,8.6625,3
502,0,3,0,21.0,0.0,0,7.75,2
503,0,3,0,28.0,0.0,0,7.6292,2
504,0,3,0,37.0,0.0,0,9.5875,3
505,1,1,0,16.0,0.0,0,65.6344,3
506,0,1,1,18.0,1.0,0,65.6344,0
507,1,2,0,33.0,0.0,0,26.0,3
508,1,1,1,28.0,0.0,0,26.55,3
509,0,3,1,28.0,0.0,0,22.525,3
510,1,3,1,26.0,0.0,0,56.4958,3
511,1,3,1,29.0,0.0,0,7.75,2
512,0,3,1,28.0,0.0,0,8.05,3
513,1,1,1,36.0,0.0,0,26.2875,3
514,1,1,0,54.0,1.0,0,59.4,0
515,0,3,1,24.0,0.0,0,7.4958,3
516,0,1,1,47.0,0.0,0,34.0208,3
517,1,2,0,34.0,0.0,0,10.5,3
518,0,3,1,28.0,0.0,0,24.15,2
519,1,2,0,36.0,1.0,0,26.0,3
520,0,3,1,32.0,0.0,0,7.8958,3
521,1,1,0,30.0,0.0,0,65.6344,3
522,0,3,1,22.0,0.0,0,7.8958,3
523,0,3,1,28.0,0.0,0,7.225,0
524,1,1,0,44.0,0.0,0,57.9792,0
525,0,3,1,28.0,0.0,0,7.2292,0
526,0,3,1,40.5,0.0,0,7.75,2
527,1,2,0,50.0,0.0,0,10.5,3
528,0,1,1,28.0,0.0,0,65.6344,3
529,0,3,1,39.0,0.0,0,7.925,3
530,0,2,1,23.0,2.0,0,11.5,3
531,1,2,0,2.0,1.0,0,26.0,3
532,0,3,1,28.0,0.0,0,7.2292,0
533,0,3,1,17.0,1.0,0,7.2292,0
534,1,3,0,28.0,0.0,0,22.3583,0
535,0,3,0,30.0,0.0,0,8.6625,3
536,1,2,0,7.0,0.0,0,26.25,3
537,0,1,1,45.0,0.0,0,26.55,3
538,1,1,0,30.0,0.0,0,65.6344,0
539,0,3,1,28.0,0.0,0,14.5,3
540,1,1,0,22.0,0.0,0,49.5,0
541,1,1,0,36.0,0.0,0,65.6344,3
542,0,3,0,9.0,2.5,0,31.275,3
543,0,3,0,11.0,2.5,0,31.275,3
544,1,2,1,32.0,1.0,0,26.0,3
545,0,1,1,50.0,1.0,0,65.6344,0
546,0,1,1,64.0,0.0,0,26.0,3
547,1,2,0,19.0,1.0,0,26.0,3
548,1,2,1,28.0,0.0,0,13.8625,0
549,0,3,1,33.0,1.0,0,20.525,3
550,1,2,1,8.0,1.0,0,36.75,3
551,1,1,1,17.0,0.0,0,65.6344,0
552,0,2,1,27.0,0.0,0,26.0,3
553,0,3,1,28.0,0.0,0,7.8292,2
554,1,3,1,22.0,0.0,0,7.225,0
555,1,3,0,22.0,0.0,0,7.775,3
556,0,1,1,62.0,0.0,0,26.55,3
557,1,1,0,48.0,1.0,0,39.6,0
558,0,1,1,28.0,0.0,0,65.6344,0
559,1,1,0,39.0,1.0,0,65.6344,3
560,1,3,0,36.0,1.0,0,17.4,3
561,0,3,1,28.0,0.0,0,7.75,2
562,0,3,1,40.0,0.0,0,7.8958,3
563,0,2,1,28.0,0.0,0,13.5,3
564,0,3,1,28.0,0.0,0,8.05,3
565,0,3,0,28.0,0.0,0,8.05,3
566,0,3,1,24.0,2.0,0,24.15,3
567,0,3,1,19.0,0.0,0,7.8958,3
568,0,3,0,29.0,0.0,0,21.075,3
569,0,3,1,28.0,0.0,0,7.2292,0
570,1,3,1,32.0,0.0,0,7.8542,3
